,Weight,Away Team Goals,Home Team Goals
ALG,6,9,5
ANG,1,1,0
ARG,54,22,111
AUS,6,4,7
AUT,13,12,31
BEL,18,27,27
BIH,1,1,3
BOL,1,0,1
BRA,82,45,180
BUL,7,11,11
CAN,1,0,0
CHI,14,16,25
CHN,1,0,0
CIV,3,8,5
CMR,11,7,11
COL,7,18,11
CRC,7,11,7
CRO,3,18,3
CUB,2,0,5
CZE,2,3,0
DEN,7,14,13
ECU,4,6,4
ENG,35,3,54
ESP,30,25,50
FRA,31,42,68
FRG,43,40,99
GDR,3,32,3
GER,34,2,69
GHA,4,35,4
GRE,4,9,4
HAI,1,2,0
HON,5,2,2
HUN,18,1,73
IRL,5,14,2
IRN,2,0,1
IRQ,2,8,1
ITA,57,6,99
JAM,1,0,1
JPN,10,1,7
KOR,14,29,18
KSA,6,2,3
MAR,4,7,3
MEX,16,13,22
NED,32,6,51
NGA,9,2,12
NIR,5,9,5
NOR,1,36,1
NZL,1,40,1
PAR,11,8,14
PER,5,8,13
POL,16,6,27
POR,16,3,36
PRK,3,16,2
ROU,9,6,15
RSA,6,17,7
RUS,3,7,9
SCG,1,4,0
SCO,9,15,11
SEN,2,4,3
SRB,1,4,0
SUI,12,2,22
SVK,2,14,3
SVN,3,4,3
SWE,27,1,53
TCH,10,2,27
TOG,2,23,0
TRI,1,2,0
TUN,4,2,6
TUR,2,21,10
UAE,1,17,0
UKR,1,1,1
URS,18,0,43
URU,28,2,62
USA,15,10,19
WAL,1,2,2
YUG,17,4,42
ZAI,2,10,0
